 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000    0.8000    0.8000   -0.6265   -0.1371    3.6752    0.0000  5.5413E-02      0.0000  6.3554E+02
 1325.9136    1.0000    0.8000    0.8000   -0.6119   -0.1339    3.6773    0.0000  5.5413E-02      0.0000  5.2761E+02
 2651.8271    1.0000    0.8000    0.8000   -0.5962   -0.1307    3.6795    0.0000  5.5416E-02      0.0000  4.6443E+02
 3977.7407    1.0000    0.8000    0.8000   -0.5793   -0.1272    3.6821    0.0000  5.5435E-02      0.0000  4.2030E+02
 5303.6543    1.0000    0.8000    0.8000   -0.5612   -0.1236    3.6847    0.0000  5.5493E-02      0.0000  3.8673E+02
 6629.5679    1.0000    0.8000    0.8000   -0.5420   -0.1196    3.6876    0.0000  5.5627E-02      0.0000  3.5977E+02
 7955.4814    1.0000    0.8000    0.8000   -0.5216   -0.1153    3.6905    0.0000  5.5877E-02      0.0000  3.3727E+02
 9281.3955    1.0000    0.8000    0.8000   -0.5001   -0.1105    3.6935    0.0000  5.6290E-02      0.0000  3.1786E+02
10607.3086    1.0000    0.8000    0.8000   -0.4774   -0.1053    3.6965    0.0000  5.6905E-02      0.0000  3.0064E+02
11933.2227    1.0000    0.8000    0.8000   -0.4535   -0.0994    3.6996    0.0000  5.7763E-02      0.0000  2.8495E+02
13259.1357    1.0000    0.8000    0.8000   -0.4284   -0.0928    3.7025    0.0000  5.8896E-02      0.0000  2.7029E+02
14585.0498    1.0000    0.8000    0.8000   -0.4021   -0.0854    3.7054    0.0000  6.0335E-02      0.0000  2.5624E+02
15910.9629    1.0000    0.8000    0.8000   -0.3744   -0.0771    3.7082    0.0000  6.2117E-02      0.0000  2.4244E+02
17236.8770    1.0000    0.8000    0.8000   -0.3452   -0.0677    3.7108    0.0000  6.4289E-02      0.0000  2.2856E+02
18562.7910    1.0000    0.8000    0.8000   -0.3141   -0.0568    3.7131    0.0000  6.6926E-02      0.0000  2.1423E+02
19888.7031    1.0000    0.8000    0.8000   -0.2806   -0.0442    3.7152    0.0000  7.0153E-02      0.0000  1.9904E+02
21214.6172    1.0000    0.8000    0.8000   -0.2437   -0.0290    3.7168    0.0000  7.4187E-02      0.0000  1.8248E+02
22540.5312    1.0000    0.8000    0.8000   -0.2019   -0.0103    3.7180    0.0000  7.9419E-02      0.0000  1.6385E+02
23866.4453    1.0000    0.8000    0.8000   -0.1530    0.0135    3.7183    0.0000  8.6642E-02      0.0000  1.4223E+02
25192.3574    1.0000    0.8000    0.8000   -0.0934    0.0457    3.7171    0.0000  9.8250E-02      0.0000  1.1595E+02
26258.8965    1.0000    0.8000    0.8000   -0.0343    0.0843    3.7125    0.0000  1.1925E-01      0.0000  8.7730E+01
26518.2715    2.0000    0.8000    0.8000   -0.0180    0.0972    3.7102    0.0947  1.1418E-01      0.0000  8.9267E+01
26588.0566    2.0000    0.8000    0.8000   -0.0073    0.1054    3.7087    0.0968  1.2098E-01     -2.7421  8.4991E+01
26657.8496    2.0000    0.8000    0.8000    0.0033    0.1137    3.7073    0.0989  1.2813E-01     -5.6145  8.0840E+01
26727.6484    2.0000    0.7999    0.7999    0.0140    0.1219    3.7058    0.1010  1.3562E-01     -8.6232  7.6820E+01
26797.4570    2.0000    0.7999    0.7999    0.0246    0.1302    3.7044    0.1032  1.4347E-01    -11.7748  7.2936E+01
26867.2715    2.0000    0.7999    0.7999    0.0353    0.1384    3.7029    0.1053  1.5170E-01    -15.0761  6.9192E+01
26937.0957    2.0000    0.7999    0.7999    0.0460    0.1466    3.7014    0.1074  1.6032E-01    -18.5342  6.5590E+01
27006.9297    2.0000    0.7998    0.7998    0.0566    0.1549    3.7000    0.1096  1.6935E-01    -22.1566  6.2132E+01
27076.7734    2.0000    0.7998    0.7998    0.0673    0.1631    3.6985    0.1117  1.7879E-01    -25.9511  5.8818E+01
27146.6250    2.0000    0.7998    0.7998    0.0779    0.1713    3.6971    0.1138  1.8867E-01    -29.9259  5.5647E+01
27216.4883    2.0000    0.7997    0.7997    0.0886    0.1796    3.6956    0.1160  1.9901E-01    -34.0895  5.2618E+01
27286.3613    2.0000    0.7997    0.7997    0.0992    0.1878    3.6942    0.1181  2.0981E-01    -38.4511  4.9728E+01
27356.2461    2.0000    0.7997    0.7997    0.1099    0.1960    3.6927    0.1202  2.2109E-01    -43.0200  4.6975E+01
27426.1426    2.0000    0.7996    0.7996    0.1205    0.2042    3.6913    0.1223  2.3288E-01    -47.8062  4.4356E+01
27496.0508    2.0000    0.7996    0.7996    0.1312    0.2125    3.6898    0.1245  2.4519E-01    -52.8199  4.1866E+01
27565.9727    2.0000    0.7996    0.7996    0.1418    0.2207    3.6884    0.1266  2.5804E-01    -58.0723  3.9503E+01
27635.9062    2.0000    0.7995    0.7995    0.1525    0.2289    3.6869    0.1287  2.7144E-01    -63.5745  3.7261E+01
27705.8555    2.0000    0.7995    0.7995    0.1631    0.2372    3.6855    0.1309  2.8541E-01    -69.3386  3.5136E+01
27775.8184    2.0000    0.7994    0.7994    0.1738    0.2454    3.6840    0.1330  2.9999E-01    -75.3772  3.3125E+01
27845.7969    2.0000    0.7994    0.7994    0.1845    0.2536    3.6826    0.1351  3.1517E-01    -81.7034  3.1221E+01
27915.7910    2.0000    0.7993    0.7993    0.1951    0.2619    3.6811    0.1372  3.3099E-01    -88.3310  2.9422E+01
27916.0176    2.0000    0.7993    0.7993    0.1951    0.2619    3.6811    0.1373  3.3105E-01    -88.3534  2.9416E+01
27916.0195    3.0000    0.7993    0.7993    0.1951    0.2619    3.6811    0.1373  3.3105E-01    -88.3534  2.9416E+01
27927.0723    3.0000    0.7993    0.7993    0.2004    0.2645    3.6811    0.1375  3.3491E-01    -88.3534  2.9011E+01
27938.0117    3.0000    0.7993    0.7993    0.2056    0.2672    3.6811    0.1378  3.3879E-01    -88.3534  2.8612E+01
27948.8438    3.0000    0.7993    0.7993    0.2109    0.2699    3.6810    0.1381  3.4269E-01    -88.3534  2.8220E+01
27959.5664    3.0000    0.7993    0.7993    0.2161    0.2725    3.6810    0.1384  3.4661E-01    -88.3534  2.7833E+01
27970.1816    3.0000    0.7993    0.7993    0.2213    0.2752    3.6810    0.1386  3.5055E-01    -88.3534  2.7452E+01
27980.6914    3.0000    0.7993    0.7993    0.2266    0.2779    3.6810    0.1389  3.5450E-01    -88.3534  2.7077E+01
27991.0957    3.0000    0.7993    0.7993    0.2318    0.2806    3.6809    0.1392  3.5848E-01    -88.3534  2.6708E+01
28001.3965    3.0000    0.7993    0.7993    0.2370    0.2832    3.6809    0.1395  3.6247E-01    -88.3534  2.6344E+01
28011.5938    3.0000    0.7993    0.7993    0.2423    0.2859    3.6809    0.1398  3.6648E-01    -88.3534  2.5986E+01
28021.6895    3.0000    0.7993    0.7993    0.2475    0.2886    3.6809    0.1400  3.7051E-01    -88.3534  2.5632E+01
28031.6836    3.0000    0.7993    0.7993    0.2528    0.2913    3.6808    0.1403  3.7455E-01    -88.3534  2.5285E+01
28041.5781    3.0000    0.7993    0.7992    0.2580    0.2940    3.6808    0.1406  3.7861E-01    -88.3534  2.4942E+01
28051.3750    3.0000    0.7993    0.7992    0.2632    0.2966    3.6808    0.1409  3.8268E-01    -88.3534  2.4605E+01
28061.0723    3.0000    0.7993    0.7992    0.2685    0.2993    3.6807    0.1412  3.8677E-01    -88.3534  2.4272E+01
28070.6738    3.0000    0.7993    0.7992    0.2737    0.3020    3.6807    0.1415  3.9087E-01    -88.3534  2.3944E+01
28080.1777    3.0000    0.7993    0.7992    0.2789    0.3047    3.6807    0.1417  3.9498E-01    -88.3534  2.3622E+01
28089.5879    3.0000    0.7993    0.7992    0.2842    0.3074    3.6806    0.1420  3.9911E-01    -88.3534  2.3304E+01
28098.9023    3.0000    0.7993    0.7992    0.2894    0.3101    3.6806    0.1423  4.0325E-01    -88.3534  2.2990E+01
28108.1250    3.0000    0.7993    0.7992    0.2947    0.3128    3.6805    0.1426  4.0740E-01    -88.3534  2.2682E+01
28117.2559    3.0000    0.7993    0.7992    0.2999    0.3155    3.6805    0.1429  4.1156E-01    -88.3534  2.2378E+01
28126.2949    3.0000    0.7993    0.7992    0.3051    0.3182    3.6805    0.1432  4.1572E-01    -88.3534  2.2078E+01
28135.2422    3.0000    0.7993    0.7992    0.3104    0.3209    3.6804    0.1435  4.1990E-01    -88.3534  2.1783E+01
28144.1016    3.0000    0.7993    0.7991    0.3156    0.3236    3.6804    0.1437  4.2409E-01    -88.3534  2.1492E+01
28152.8730    3.0000    0.7993    0.7991    0.3209    0.3263    3.6803    0.1440  4.2828E-01    -88.3534  2.1205E+01
28161.5547    3.0000    0.7993    0.7991    0.3261    0.3290    3.6803    0.1443  4.3248E-01    -88.3534  2.0922E+01
28170.1504    3.0000    0.7993    0.7991    0.3313    0.3317    3.6803    0.1446  4.3668E-01    -88.3534  2.0644E+01
28178.6602    3.0000    0.7993    0.7991    0.3366    0.3344    3.6802    0.1449  4.4089E-01    -88.3534  2.0369E+01
28187.0859    3.0000    0.7993    0.7991    0.3418    0.3371    3.6802    0.1452  4.4510E-01    -88.3534  2.0098E+01
28195.4258    3.0000    0.7993    0.7991    0.3470    0.3398    3.6801    0.1455  4.4931E-01    -88.3534  1.9832E+01
28203.6836    3.0000    0.7993    0.7991    0.3523    0.3425    3.6801    0.1458  4.5352E-01    -88.3534  1.9569E+01
28211.8574    3.0000    0.7993    0.7991    0.3575    0.3453    3.6800    0.1461  4.5774E-01    -88.3534  1.9310E+01
28219.9512    3.0000    0.7993    0.7991    0.3628    0.3480    3.6800    0.1464  4.6195E-01    -88.3534  1.9055E+01
28227.9629    3.0000    0.7993    0.7990    0.3680    0.3507    3.6799    0.1467  4.6616E-01    -88.3534  1.8803E+01
28235.8945    3.0000    0.7993    0.7990    0.3732    0.3534    3.6799    0.1470  4.7036E-01    -88.3534  1.8555E+01
28243.7461    3.0000    0.7993    0.7990    0.3785    0.3561    3.6798    0.1473  4.7456E-01    -88.3534  1.8310E+01
28251.5215    3.0000    0.7993    0.7990    0.3837    0.3589    3.6798    0.1476  4.7876E-01    -88.3534  1.8069E+01
28259.2168    3.0000    0.7993    0.7990    0.3889    0.3616    3.6797    0.1479  4.8294E-01    -88.3534  1.7832E+01
28266.8359    3.0000    0.7993    0.7990    0.3942    0.3643    3.6797    0.1481  4.8712E-01    -88.3534  1.7597E+01
28274.3789    3.0000    0.7993    0.7990    0.3994    0.3671    3.6796    0.1484  4.9128E-01    -88.3534  1.7366E+01
28281.8477    3.0000    0.7993    0.7990    0.4047    0.3698    3.6795    0.1487  4.9544E-01    -88.3534  1.7139E+01
28289.2402    3.0000    0.7993    0.7990    0.4099    0.3725    3.6795    0.1490  4.9958E-01    -88.3534  1.6914E+01
28296.5586    3.0000    0.7993    0.7989    0.4151    0.3753    3.6794    0.1493  5.0370E-01    -88.3534  1.6693E+01
28303.8047    3.0000    0.7993    0.7989    0.4204    0.3780    3.6794    0.1496  5.0781E-01    -88.3534  1.6474E+01
28310.9785    3.0000    0.7993    0.7989    0.4256    0.3807    3.6793    0.1499  5.1190E-01    -88.3534  1.6259E+01
28318.0801    3.0000    0.7993    0.7989    0.4308    0.3835    3.6792    0.1502  5.1596E-01    -88.3534  1.6047E+01
28325.1113    3.0000    0.7993    0.7989    0.4361    0.3862    3.6792    0.1505  5.2001E-01    -88.3534  1.5838E+01
28332.0703    3.0000    0.7993    0.7989    0.4413    0.3890    3.6791    0.1509  5.2403E-01    -88.3534  1.5631E+01
28338.9609    3.0000    0.7993    0.7989    0.4466    0.3917    3.6791    0.1512  5.2802E-01    -88.3534  1.5428E+01
28345.7832    3.0000    0.7993    0.7989    0.4518    0.3945    3.6790    0.1515  5.3199E-01    -88.3534  1.5227E+01
28352.5371    3.0000    0.7993    0.7989    0.4570    0.3972    3.6789    0.1518  5.3592E-01    -88.3534  1.5030E+01
28359.2227    3.0000    0.7993    0.7988    0.4623    0.4000    3.6789    0.1521  5.3982E-01    -88.3534  1.4835E+01
28365.8418    3.0000    0.7993    0.7988    0.4675    0.4027    3.6788    0.1524  5.4369E-01    -88.3534  1.4642E+01
28372.3945    3.0000    0.7993    0.7988    0.4727    0.4055    3.6787    0.1527  5.4751E-01    -88.3534  1.4452E+01
28378.8828    3.0000    0.7993    0.7988    0.4780    0.4082    3.6786    0.1530  5.5130E-01    -88.3534  1.4265E+01
28385.3047    3.0000    0.7993    0.7988    0.4832    0.4110    3.6786    0.1533  5.5505E-01    -88.3534  1.4081E+01
28391.6641    3.0000    0.7993    0.7988    0.4885    0.4138    3.6785    0.1536  5.5875E-01    -88.3534  1.3899E+01
28397.9590    3.0000    0.7993    0.7988    0.4937    0.4165    3.6784    0.1539  5.6241E-01    -88.3534  1.3719E+01
28404.1895    3.0000    0.7993    0.7988    0.4989    0.4193    3.6784    0.1542  5.6601E-01    -88.3534  1.3542E+01
28410.3594    3.0000    0.7993    0.7987    0.5042    0.4221    3.6783    0.1545  5.6956E-01    -88.3534  1.3368E+01
28416.4668    3.0000    0.7993    0.7987    0.5094    0.4248    3.6782    0.1548  5.7306E-01    -88.3534  1.3195E+01
28422.5137    3.0000    0.7993    0.7987    0.5146    0.4276    3.6781    0.1552  5.7649E-01    -88.3534  1.3025E+01
28428.5000    3.0000    0.7993    0.7987    0.5199    0.4304    3.6780    0.1555  5.7987E-01    -88.3534  1.2858E+01
