 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000    8.0000    8.0000    3.4286    0.5387    4.3511    0.0000  1.0000E-10      0.0000  3.1333E+03
    1.8575    1.0000    8.0000    8.0000    3.4384    0.5493    4.3482    0.0000  1.0000E-10      0.0000  3.0556E+03
    3.7150    1.0000    8.0000    8.0000    3.4493    0.5599    4.3456    0.0000  1.0000E-10      0.0000  2.9783E+03
    5.5725    1.0000    8.0000    8.0000    3.4614    0.5708    4.3432    0.0000  1.0000E-10      0.0000  2.9007E+03
    7.4300    1.0000    8.0000    8.0000    3.4745    0.5820    4.3409    0.0000  1.0000E-10      0.0000  2.8221E+03
    9.2875    1.0000    8.0000    8.0000    3.4888    0.5937    4.3386    0.0000  1.0000E-10      0.0000  2.7420E+03
   11.1450    1.0000    8.0000    8.0000    3.5041    0.6058    4.3364    0.0000  1.0000E-10      0.0000  2.6597E+03
   13.0025    1.0000    8.0000    8.0000    3.5206    0.6186    4.3341    0.0000  1.0000E-10      0.0000  2.5749E+03
   14.8599    1.0000    8.0000    8.0000    3.5381    0.6321    4.3318    0.0000  1.0000E-10      0.0000  2.4870E+03
   16.7174    1.0000    8.0000    8.0000    3.5567    0.6464    4.3293    0.0000  1.0000E-10      0.0000  2.3956E+03
   18.5749    1.0000    8.0000    8.0000    3.5765    0.6617    4.3265    0.0000  1.0000E-10      0.0000  2.3004E+03
   20.4324    1.0000    8.0000    8.0000    3.5973    0.6782    4.3235    0.0000  1.0000E-10      0.0000  2.2007E+03
   22.2899    1.0000    8.0000    8.0000    3.6193    0.6960    4.3201    0.0000  1.0000E-10      0.0000  2.0960E+03
   24.1474    1.0000    7.9991    7.9991    3.6422    0.7155    4.3161    0.0000  1.0000E-10     -0.0051  1.9825E+03
   26.0053    1.0000    7.9967    7.9967    3.6659    0.7372    4.3112    0.0000  1.0000E-10     -0.0196  1.8572E+03
   27.8644    1.0000    7.9932    7.9932    3.6905    0.7618    4.3050    0.0000  1.0000E-10     -0.0421  1.7192E+03
   29.7250    1.0000    7.9893    7.9893    3.7161    0.7908    4.2969    0.0000  1.0000E-10     -0.0693  1.5671E+03
   31.5875    1.0000    7.9849    7.9849    3.7426    0.8260    4.2860    0.0000  1.0000E-10     -0.1024  1.3964E+03
   33.3085    1.0000    7.9802    7.9802    3.7680    0.8665    4.2720    0.0000  1.0000E-10     -0.1398  1.2182E+03
   34.6766    1.0000    7.9759    7.9759    3.7887    0.9064    4.2573    0.0000  1.0000E-10     -0.1762  1.0607E+03
   35.8007    1.0000    7.9718    7.9718    3.8061    0.9459    4.2418    0.0000  1.0000E-10     -0.2119  9.2112E+02
   37.2015    1.0000    7.9661    7.9661    3.9116    0.9106    4.2859    0.0000  1.0000E-10     -0.2639  1.0224E+03
   37.2035    1.0000    7.9661    7.9661    3.9126    0.9091    4.2868    0.0000  1.0000E-10     -0.2640  1.0274E+03
   37.2035    2.0000    7.9661    7.9661    3.9126    0.9092    4.2868    1.5834  1.0000E-10     -0.2640  1.2797E+03
   37.2074    2.0000    7.9661    7.9661    3.9039    0.9502    4.2642    1.5845  1.0000E-10     -0.2642  1.1162E+03
   37.2112    2.0000    7.9660    7.9660    3.8952    0.9912    4.2415    1.5856  1.0000E-10     -0.2644  9.7004E+02
   37.2151    2.0000    7.9660    7.9660    3.8865    1.0322    4.2188    1.5867  1.0000E-10     -0.2646  8.4001E+02
   37.2189    2.0000    7.9660    7.9660    3.8779    1.0732    4.1961    1.5878  1.0000E-10     -0.2649  7.2499E+02
   37.2228    2.0000    7.9660    7.9660    3.8692    1.1142    4.1735    1.5889  1.0000E-10     -0.2651  6.2377E+02
   37.2266    2.0000    7.9659    7.9659    3.8605    1.1552    4.1508    1.5899  1.0000E-10     -0.2653  5.3514E+02
   37.2305    2.0000    7.9659    7.9659    3.8518    1.1962    4.1281    1.5910  1.0000E-10     -0.2656  4.5788E+02
   37.2343    2.0000    7.9659    7.9659    3.8431    1.2372    4.1055    1.5921  1.0000E-10     -0.2659  3.9082E+02
   37.2382    2.0000    7.9659    7.9659    3.8345    1.2782    4.0828    1.5932  1.0000E-10     -0.2661  3.3283E+02
   37.2421    2.0000    7.9658    7.9658    3.8258    1.3191    4.0601    1.5943  1.0000E-10     -0.2664  2.8287E+02
   37.2459    2.0000    7.9658    7.9658    3.8171    1.3601    4.0375    1.5954  1.0000E-10     -0.2668  2.3997E+02
   37.2498    2.0000    7.9658    7.9658    3.8084    1.4011    4.0148    1.5964  1.0000E-10     -0.2671  2.0323E+02
   37.2536    2.0000    7.9657    7.9657    3.7997    1.4421    3.9921    1.5975  1.0000E-10     -0.2674  1.7186E+02
   37.2575    2.0000    7.9657    7.9657    3.7911    1.4831    3.9695    1.5986  1.0000E-10     -0.2678  1.4514E+02
   37.2613    2.0000    7.9656    7.9656    3.7824    1.5241    3.9468    1.5997  1.0000E-10     -0.2682  1.2242E+02
   37.2652    2.0000    7.9656    7.9656    3.7737    1.5651    3.9241    1.6008  1.0000E-10     -0.2686  1.0315E+02
   37.2690    2.0000    7.9655    7.9655    3.7650    1.6061    3.9015    1.6018  1.0000E-10     -0.2690  8.6829E+01
   37.2729    2.0000    7.9655    7.9655    3.7563    1.6471    3.8788    1.6029  1.0000E-10     -0.2695  7.3027E+01
   37.2767    2.0000    7.9654    7.9654    3.7477    1.6881    3.8561    1.6040  1.0000E-10     -0.2700  6.1372E+01
   37.2806    2.0000    7.9654    7.9654    3.7390    1.7291    3.8335    1.6051  1.0000E-10     -0.2705  5.1542E+01
   37.2844    2.0000    7.9653    7.9653    3.7303    1.7701    3.8108    1.6061  1.0000E-10     -0.2710  4.3261E+01
   37.2883    2.0000    7.9653    7.9653    3.7216    1.8111    3.7881    1.6072  1.0000E-10     -0.2716  3.6290E+01
