 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000   12.0000   12.0000    3.9925    0.6429    4.4399    0.0000  1.0000E-10      0.0000  2.3393E+03
    0.8872    1.0000   11.9962   11.9962    4.0028    0.6537    4.4371    0.0000  1.0000E-10      0.0000  2.2773E+03
    1.7748    1.0000   11.9923   11.9923    4.0141    0.6646    4.4345    0.0000  1.0000E-10     -0.0005  2.2152E+03
    2.6629    1.0000   11.9881   11.9881    4.0266    0.6757    4.4320    0.0000  1.0000E-10     -0.0015  2.1528E+03
    3.5515    1.0000   11.9837   11.9837    4.0401    0.6872    4.4297    0.0000  1.0000E-10     -0.0031  2.0893E+03
    4.4406    1.0000   11.9791   11.9791    4.0547    0.6990    4.4274    0.0000  1.0000E-10     -0.0054  2.0245E+03
    5.3303    1.0000   11.9741   11.9741    4.0704    0.7114    4.4252    0.0000  1.0000E-10     -0.0084  1.9579E+03
    6.2207    1.0000   11.9687   11.9687    4.0871    0.7244    4.4229    0.0000  1.0000E-10     -0.0123  1.8890E+03
    7.1116    1.0000   11.9630   11.9630    4.1050    0.7381    4.4205    0.0000  1.0000E-10     -0.0172  1.8176E+03
    8.0033    1.0000   11.9568   11.9568    4.1238    0.7527    4.4179    0.0000  1.0000E-10     -0.0233  1.7434E+03
    8.8957    1.0000   11.9500   11.9500    4.1437    0.7683    4.4151    0.0000  1.0000E-10     -0.0307  1.6659E+03
    9.7890    1.0000   11.9427   11.9427    4.1647    0.7850    4.4119    0.0000  1.0000E-10     -0.0398  1.5849E+03
   10.6832    1.0000   11.9346   11.9346    4.1867    0.8031    4.4084    0.0000  1.0000E-10     -0.0507  1.4997E+03
   11.5783    1.0000   11.9257   11.9257    4.2096    0.8230    4.4042    0.0000  1.0000E-10     -0.0638  1.4096E+03
   12.4746    1.0000   11.9159   11.9159    4.2336    0.8451    4.3991    0.0000  1.0000E-10     -0.0796  1.3133E+03
   13.3720    1.0000   11.9049   11.9049    4.2586    0.8704    4.3927    0.0000  1.0000E-10     -0.0987  1.2091E+03
   14.2709    1.0000   11.8925   11.8925    4.2845    0.9002    4.3843    0.0000  1.0000E-10     -0.1219  1.0943E+03
   15.1712    1.0000   11.8783   11.8783    4.3113    0.9366    4.3728    0.0000  1.0000E-10     -0.1501  9.6604E+02
   15.9693    1.0000   11.8638   11.8638    4.3357    0.9767    4.3588    0.0000  1.0000E-10     -0.1810  8.3862E+02
   16.6084    1.0000   11.8504   11.8504    4.3556    1.0163    4.3440    0.0000  1.0000E-10     -0.2111  7.2640E+02
   17.1366    1.0000   11.8378   11.8378    4.3723    1.0557    4.3285    0.0000  1.0000E-10     -0.2407  6.2730E+02
   17.9041    1.0000   11.8171   11.8171    4.4675    1.0274    4.3664    0.0000  1.0000E-10     -0.2910  6.6614E+02
   17.9063    1.0000   11.8171   11.8171    4.4693    1.0239    4.3686    0.0000  1.0000E-10     -0.2912  6.7364E+02
   17.9063    2.0000   11.8171   11.8171    4.4693    1.0240    4.3686    2.6973  1.0000E-10     -0.2912  8.7042E+02
   17.9076    2.0000   11.8170   11.8170    4.4616    1.0650    4.3462    2.6989  1.0000E-10     -0.2913  7.6110E+02
   17.9088    2.0000   11.8170   11.8170    4.4538    1.1060    4.3237    2.7005  1.0000E-10     -0.2914  6.6294E+02
   17.9100    2.0000   11.8169   11.8169    4.4461    1.1471    4.3013    2.7020  1.0000E-10     -0.2915  5.7531E+02
   17.9113    2.0000   11.8169   11.8169    4.4384    1.1881    4.2788    2.7036  1.0000E-10     -0.2916  4.9753E+02
   17.9125    2.0000   11.8168   11.8168    4.4306    1.2291    4.2564    2.7052  1.0000E-10     -0.2917  4.2887E+02
   17.9137    2.0000   11.8168   11.8168    4.4229    1.2701    4.2339    2.7067  1.0000E-10     -0.2919  3.6856E+02
   17.9150    2.0000   11.8167   11.8167    4.4152    1.3111    4.2115    2.7083  1.0000E-10     -0.2920  3.1584E+02
   17.9162    2.0000   11.8167   11.8167    4.4074    1.3521    4.1891    2.7098  1.0000E-10     -0.2922  2.6996E+02
   17.9174    2.0000   11.8166   11.8166    4.3997    1.3932    4.1666    2.7114  1.0000E-10     -0.2923  2.3019E+02
   17.9187    2.0000   11.8165   11.8165    4.3920    1.4342    4.1442    2.7130  1.0000E-10     -0.2925  1.9586E+02
   17.9199    2.0000   11.8165   11.8165    4.3842    1.4752    4.1217    2.7145  1.0000E-10     -0.2927  1.6632E+02
   17.9211    2.0000   11.8164   11.8164    4.3765    1.5162    4.0993    2.7161  1.0000E-10     -0.2929  1.4098E+02
   17.9224    2.0000   11.8163   11.8163    4.3688    1.5572    4.0768    2.7176  1.0000E-10     -0.2931  1.1931E+02
   17.9236    2.0000   11.8162   11.8162    4.3610    1.5983    4.0544    2.7192  1.0000E-10     -0.2933  1.0082E+02
   17.9248    2.0000   11.8161   11.8161    4.3533    1.6393    4.0320    2.7207  1.0000E-10     -0.2935  8.5090E+01
   17.9261    2.0000   11.8160   11.8160    4.3456    1.6803    4.0095    2.7223  1.0000E-10     -0.2938  7.1728E+01
   17.9273    2.0000   11.8159   11.8159    4.3378    1.7213    3.9871    2.7238  1.0000E-10     -0.2940  6.0401E+01
   17.9285    2.0000   11.8158   11.8158    4.3301    1.7623    3.9646    2.7254  1.0000E-10     -0.2943  5.0816E+01
   17.9298    2.0000   11.8157   11.8157    4.3224    1.8033    3.9422    2.7269  1.0000E-10     -0.2946  4.2716E+01
   17.9310    2.0000   11.8156   11.8156    4.3146    1.8444    3.9197    2.7285  1.0000E-10     -0.2949  3.5880E+01
   17.9322    2.0000   11.8155   11.8155    4.3069    1.8854    3.8973    2.7300  1.0000E-10     -0.2952  3.0119E+01
   17.9335    2.0000   11.8154   11.8154    4.2991    1.9264    3.8749    2.7316  1.0000E-10     -0.2955  2.5267E+01
   17.9347    2.0000   11.8152   11.8152    4.2914    1.9674    3.8524    2.7331  1.0000E-10     -0.2959  2.1186E+01
   17.9359    2.0000   11.8151   11.8151    4.2837    2.0084    3.8300    2.7346  1.0000E-10     -0.2962  1.7756E+01
   17.9372    2.0000   11.8149   11.8149    4.2759    2.0494    3.8075    2.7362  1.0000E-10     -0.2966  1.4875E+01
   17.9384    2.0000   11.8148   11.8148    4.2682    2.0904    3.7851    2.7377  1.0000E-10     -0.2970  1.2457E+01
   17.9396    2.0000   11.8146   11.8146    4.2604    2.1314    3.7627    2.7392  1.0000E-10     -0.2975  1.0428E+01
   17.9409    2.0000   11.8144   11.8144    4.2527    2.1725    3.7402    2.7407  1.0000E-10     -0.2979  8.7269E+00
   17.9421    2.0000   11.8142   11.8142    4.2449    2.2135    3.7178    2.7423  1.0000E-10     -0.2984  7.3014E+00
   17.9433    2.0000   11.8140   11.8140    4.2372    2.2545    3.6953    2.7438  1.0000E-10     -0.2989  6.1072E+00
   17.9446    2.0000   11.8138   11.8138    4.2294    2.2955    3.6729    2.7453  1.9773E-03     -0.2995  4.8318E+00
   17.9458    2.0000   11.8136   11.8136    4.2217    2.3365    3.6504    2.7468  8.3785E-02     -0.3000  2.7619E+00
   17.9470    2.0000   11.8133   11.8133    4.2139    2.3775    3.6280    2.7483  7.6231E-01     -0.3006  1.1595E+00
   17.9483    2.0000   11.8131   11.8131    4.2062    2.4187    3.6055    2.7498  3.7809E+00     -0.3013  4.5895E-01
   17.9484    2.0000   11.8131   11.8131    4.2051    2.4240    3.6025    2.7500  4.5315E+00     -0.3014  4.0808E-01
   17.9484    3.0000   11.8131   11.8131    4.2053    2.4241    3.6025    2.7500  4.5335E+00     -0.3014  4.0786E-01
   17.9485    3.0000   11.8131   11.8130    4.2107    2.4281    3.6019    2.7500  4.6134E+00     -0.3014  3.9956E-01
   17.9486    3.0000   11.8131   11.8130    4.2162    2.4321    3.6013    2.7500  4.6935E+00     -0.3014  3.9142E-01
   17.9487    3.0000   11.8131   11.8130    4.2216    2.4361    3.6006    2.7500  4.7739E+00     -0.3014  3.8345E-01
   17.9487    3.0000   11.8131   11.8130    4.2271    2.4400    3.6000    2.7500  4.8546E+00     -0.3014  3.7565E-01
   17.9488    3.0000   11.8131   11.8130    4.2326    2.4440    3.5994    2.7500  4.9355E+00     -0.3014  3.6801E-01
   17.9489    3.0000   11.8131   11.8130    4.2380    2.4480    3.5988    2.7500  5.0166E+00     -0.3014  3.6052E-01
   17.9489    3.0000   11.8131   11.8129    4.2435    2.4520    3.5982    2.7500  5.0980E+00     -0.3014  3.5319E-01
   17.9490    3.0000   11.8131   11.8129    4.2489    2.4559    3.5975    2.7500  5.1795E+00     -0.3014  3.4600E-01
   17.9491    3.0000   11.8131   11.8129    4.2544    2.4599    3.5969    2.7500  5.2612E+00     -0.3014  3.3896E-01
   17.9491    3.0000   11.8131   11.8129    4.2598    2.4639    3.5963    2.7500  5.3430E+00     -0.3014  3.3206E-01
   17.9492    3.0000   11.8131   11.8129    4.2653    2.4679    3.5957    2.7500  5.4250E+00     -0.3014  3.2531E-01
   17.9493    3.0000   11.8131   11.8129    4.2707    2.4719    3.5950    2.7500  5.5070E+00     -0.3014  3.1868E-01
   17.9493    3.0000   11.8131   11.8128    4.2762    2.4758    3.5944    2.7500  5.5892E+00     -0.3014  3.1220E-01
   17.9494    3.0000   11.8131   11.8128    4.2817    2.4798    3.5938    2.7500  5.6714E+00     -0.3014  3.0584E-01
   17.9495    3.0000   11.8131   11.8128    4.2871    2.4838    3.5931    2.7500  5.7536E+00     -0.3014  2.9960E-01
   17.9495    3.0000   11.8131   11.8128    4.2926    2.4878    3.5925    2.7500  5.8359E+00     -0.3014  2.9350E-01
   17.9496    3.0000   11.8131   11.8128    4.2980    2.4918    3.5919    2.7501  5.9181E+00     -0.3014  2.8751E-01
   17.9496    3.0000   11.8131   11.8127    4.3035    2.4957    3.5913    2.7501  6.0003E+00     -0.3014  2.8164E-01
   17.9497    3.0000   11.8131   11.8127    4.3089    2.4997    3.5906    2.7501  6.0824E+00     -0.3014  2.7589E-01
   17.9498    3.0000   11.8131   11.8127    4.3144    2.5037    3.5900    2.7501  6.1644E+00     -0.3014  2.7025E-01
   17.9498    3.0000   11.8131   11.8127    4.3199    2.5077    3.5894    2.7501  6.2463E+00     -0.3014  2.6472E-01
   17.9499    3.0000   11.8131   11.8127    4.3253    2.5117    3.5888    2.7501  6.3281E+00     -0.3014  2.5930E-01
   17.9499    3.0000   11.8131   11.8126    4.3308    2.5157    3.5881    2.7501  6.4096E+00     -0.3014  2.5398E-01
   17.9500    3.0000   11.8131   11.8126    4.3362    2.5197    3.5875    2.7501  6.4909E+00     -0.3014  2.4877E-01
   17.9500    3.0000   11.8131   11.8126    4.3417    2.5236    3.5869    2.7501  6.5720E+00     -0.3014  2.4366E-01
   17.9501    3.0000   11.8131   11.8126    4.3471    2.5276    3.5862    2.7501  6.6527E+00     -0.3014  2.3865E-01
   17.9502    3.0000   11.8131   11.8126    4.3526    2.5316    3.5856    2.7501  6.7331E+00     -0.3014  2.3373E-01
   17.9502    3.0000   11.8131   11.8125    4.3580    2.5356    3.5850    2.7501  6.8132E+00     -0.3014  2.2891E-01
   17.9503    3.0000   11.8131   11.8125    4.3635    2.5396    3.5843    2.7501  6.8928E+00     -0.3014  2.2418E-01
   17.9503    3.0000   11.8131   11.8125    4.3690    2.5436    3.5837    2.7501  6.9719E+00     -0.3014  2.1955E-01
   17.9504    3.0000   11.8131   11.8125    4.3744    2.5476    3.5831    2.7501  7.0506E+00     -0.3014  2.1500E-01
   17.9504    3.0000   11.8131   11.8125    4.3799    2.5516    3.5825    2.7501  7.1287E+00     -0.3014  2.1054E-01
   17.9505    3.0000   11.8131   11.8124    4.3853    2.5556    3.5818    2.7501  7.2063E+00     -0.3014  2.0616E-01
   17.9505    3.0000   11.8131   11.8124    4.3908    2.5595    3.5812    2.7501  7.2832E+00     -0.3014  2.0186E-01
   17.9506    3.0000   11.8131   11.8124    4.3962    2.5635    3.5806    2.7501  7.3594E+00     -0.3014  1.9765E-01
   17.9506    3.0000   11.8131   11.8124    4.4017    2.5675    3.5799    2.7501  7.4348E+00     -0.3014  1.9352E-01
   17.9507    3.0000   11.8131   11.8123    4.4071    2.5715    3.5793    2.7501  7.5095E+00     -0.3014  1.8946E-01
   17.9507    3.0000   11.8131   11.8123    4.4126    2.5755    3.5787    2.7501  7.5834E+00     -0.3014  1.8548E-01
   17.9508    3.0000   11.8131   11.8123    4.4181    2.5795    3.5780    2.7501  7.6563E+00     -0.3014  1.8158E-01
   17.9508    3.0000   11.8131   11.8123    4.4235    2.5835    3.5774    2.7501  7.7283E+00     -0.3014  1.7774E-01
   17.9509    3.0000   11.8131   11.8122    4.4290    2.5875    3.5768    2.7501  7.7992E+00     -0.3014  1.7398E-01
   17.9509    3.0000   11.8131   11.8122    4.4344    2.5915    3.5761    2.7501  7.8691E+00     -0.3014  1.7029E-01
   17.9510    3.0000   11.8131   11.8122    4.4399    2.5955    3.5755    2.7501  7.9378E+00     -0.3014  1.6667E-01
   17.9510    3.0000   11.8131   11.8121    4.4453    2.5995    3.5749    2.7501  8.0053E+00     -0.3014  1.6312E-01
   17.9511    3.0000   11.8131   11.8121    4.4508    2.6035    3.5742    2.7501  8.0716E+00     -0.3014  1.5963E-01
   17.9511    3.0000   11.8131   11.8121    4.4563    2.6075    3.5736    2.7501  8.1365E+00     -0.3014  1.5621E-01
   17.9512    3.0000   11.8131   11.8121    4.4617    2.6115    3.5730    2.7501  8.2000E+00     -0.3014  1.5285E-01
   17.9512    3.0000   11.8131   11.8120    4.4672    2.6155    3.5723    2.7501  8.2619E+00     -0.3014  1.4955E-01
   17.9513    3.0000   11.8131   11.8120    4.4726    2.6195    3.5717    2.7501  8.3223E+00     -0.3014  1.4631E-01
   17.9513    3.0000   11.8131   11.8120    4.4781    2.6235    3.5710    2.7501  8.3811E+00     -0.3014  1.4314E-01
   17.9513    3.0000   11.8131   11.8119    4.4835    2.6275    3.5704    2.7501  8.4381E+00     -0.3014  1.4002E-01
   17.9514    3.0000   11.8131   11.8119    4.4890    2.6315    3.5698    2.7501  8.4933E+00     -0.3014  1.3696E-01
   17.9514    3.0000   11.8131   11.8119    4.4944    2.6355    3.5691    2.7501  8.5465E+00     -0.3014  1.3396E-01
   17.9515    3.0000   11.8131   11.8119    4.4999    2.6395    3.5685    2.7501  8.5978E+00     -0.3014  1.3101E-01
   17.9515    3.0000   11.8131   11.8118    4.5054    2.6435    3.5679    2.7501  8.6470E+00     -0.3014  1.2812E-01
   17.9515    3.0000   11.8131   11.8118    4.5108    2.6475    3.5672    2.7501  8.6940E+00     -0.3014  1.2528E-01
   17.9516    3.0000   11.8131   11.8118    4.5163    2.6515    3.5666    2.7501  8.7387E+00     -0.3014  1.2249E-01
   17.9516    3.0000   11.8131   11.8117    4.5217    2.6555    3.5659    2.7501  8.7810E+00     -0.3014  1.1975E-01
   17.9517    3.0000   11.8131   11.8117    4.5272    2.6595    3.5653    2.7501  8.8208E+00     -0.3014  1.1707E-01
   17.9517    3.0000   11.8131   11.8117    4.5326    2.6635    3.5647    2.7501  8.8580E+00     -0.3014  1.1444E-01
   17.9517    3.0000   11.8131   11.8116    4.5381    2.6675    3.5640    2.7501  8.8925E+00     -0.3014  1.1185E-01
   17.9518    3.0000   11.8131   11.8116    4.5435    2.6715    3.5634    2.7501  8.9242E+00     -0.3014  1.0931E-01
   17.9518    3.0000   11.8131   11.8116    4.5490    2.6755    3.5628    2.7501  8.9529E+00     -0.3014  1.0682E-01
   17.9519    3.0000   11.8131   11.8115    4.5545    2.6795    3.5621    2.7501  8.9785E+00     -0.3014  1.0438E-01
   17.9519    3.0000   11.8131   11.8115    4.5599    2.6836    3.5615    2.7501  9.0010E+00     -0.3014  1.0198E-01
   17.9519    3.0000   11.8131   11.8115    4.5654    2.6876    3.5608    2.7501  9.0201E+00     -0.3014  9.9633E-02
   17.9520    3.0000   11.8131   11.8114    4.5708    2.6916    3.5602    2.7501  9.0357E+00     -0.3014  9.7327E-02
   17.9520    3.0000   11.8131   11.8114    4.5763    2.6956    3.5596    2.7501  9.0478E+00     -0.3014  9.5064E-02
   17.9521    3.0000   11.8131   11.8113    4.5817    2.6996    3.5589    2.7501  9.0560E+00     -0.3014  9.2845E-02
   17.9521    3.0000   11.8131   11.8113    4.5872    2.7036    3.5583    2.7501  9.0605E+00     -0.3014  9.0668E-02
   17.9521    4.0000   11.8131   11.8113    4.5905    2.7060    3.5579    2.7501  9.0612E+00     -0.3014  8.9384E-02
   17.9724    4.0000   11.8131   11.7892    4.5718    2.6926    3.5599    2.7588  9.0304E+00     -0.3014  9.6043E-02
   17.9927    4.0000   11.8131   11.7687    4.5542    2.6800    3.5618    2.7675  9.0012E+00     -0.3014  1.0266E-01
   18.0130    4.0000   11.8131   11.7497    4.5376    2.6681    3.5636    2.7762  8.9735E+00     -0.3014  1.0921E-01
   18.0332    4.0000   11.8131   11.7320    4.5221    2.6569    3.5653    2.7848  8.9471E+00     -0.3014  1.1564E-01
   18.0535    4.0000   11.8131   11.7154    4.5075    2.6465    3.5669    2.7935  8.9219E+00     -0.3014  1.2192E-01
   18.0738    4.0000   11.8131   11.6998    4.4939    2.6368    3.5684    2.8022  8.8976E+00     -0.3014  1.2801E-01
   18.0941    4.0000   11.8131   11.6850    4.4812    2.6277    3.5697    2.8109  8.8742E+00     -0.3014  1.3390E-01
   18.1144    4.0000   11.8131   11.6711    4.4694    2.6193    3.5710    2.8196  8.8515E+00     -0.3014  1.3954E-01
   18.1346    4.0000   11.8131   11.6578    4.4585    2.6114    3.5722    2.8282  8.8295E+00     -0.3014  1.4492E-01
   18.1549    4.0000   11.8131   11.6451    4.4484    2.6042    3.5733    2.8369  8.8082E+00     -0.3014  1.5001E-01
   18.1752    4.0000   11.8131   11.6329    4.4391    2.5976    3.5742    2.8456  8.7873E+00     -0.3014  1.5480E-01
