 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    6.9888    2.0000   23.5897   23.5764    5.2700    2.2944    3.9336    6.9513  1.0000E-10     -0.2625  4.7551E+00
    6.9891    2.0000   23.5897   23.5752    5.2704    2.3354    3.9131    6.9550  1.0000E-10     -0.2625  3.9742E+00
    6.9894    2.0000   23.5897   23.5739    5.2708    2.3765    3.8927    6.9586  1.0000E-10     -0.2625  3.3198E+00
    6.9896    2.0000   23.5897   23.5726    5.2712    2.4175    3.8723    6.9622  1.0000E-10     -0.2625  2.7717E+00
    6.9899    2.0000   23.5897   23.5711    5.2716    2.4586    3.8519    6.9658  1.0000E-10     -0.2625  2.3129E+00
    6.9902    2.0000   23.5897   23.5695    5.2721    2.4996    3.8315    6.9694  1.0000E-10     -0.2625  1.9291E+00
    6.9905    2.0000   23.5897   23.5678    5.2725    2.5406    3.8111    6.9730  1.0000E-10     -0.2625  1.6081E+00
    6.9908    2.0000   23.5897   23.5660    5.2729    2.5817    3.7907    6.9766  1.0000E-10     -0.2625  1.3399E+00
    6.9911    2.0000   23.5897   23.5640    5.2733    2.6227    3.7702    6.9802  1.0000E-10     -0.2625  1.1158E+00
    6.9914    2.0000   23.5897   23.5618    5.2737    2.6637    3.7498    6.9838  1.0000E-10     -0.2625  9.2867E-01
    6.9917    2.0000   23.5897   23.5595    5.2742    2.7048    3.7294    6.9875  1.0000E-10     -0.2625  7.7248E-01
    6.9920    2.0000   23.5897   23.5570    5.2746    2.7458    3.7090    6.9911  1.0000E-10     -0.2625  6.4216E-01
    6.9923    2.0000   23.5897   23.5542    5.2750    2.7869    3.6886    6.9947  1.0000E-10     -0.2625  5.3349E-01
    6.9926    4.0000   23.5897   23.5513    5.2754    2.8279    3.6682    6.9983  1.0000E-10     -0.2625  4.4293E-01
    6.9939    4.0000   23.5897   23.5374    5.2756    2.8462    3.6591    7.0014  1.0000E-10     -0.2625  3.9485E-01
    6.9944    4.0000   23.5897   23.5312    5.2757    2.8823    3.6410    7.0028  1.0097E-05     -0.2625  3.3161E-01
    6.9948    4.0000   23.5897   23.5272    5.2757    2.9173    3.6236    7.0036  2.4547E-02     -0.2625  2.5220E-01
    6.9950    4.0000   23.5897   23.5237    5.2757    2.9556    3.6044    7.0043  5.6933E-01     -0.2625  1.3205E-01
    6.9953    4.0000   23.5897   23.5204    5.2758    2.9965    3.5840    7.0048  4.4864E+00     -0.2625  5.2320E-02
    7.0031    4.0000   23.5897   23.4040    5.2767    3.0261    3.5694    7.0240  1.2966E+01     -0.2625  2.5429E-02
    7.0110    4.0000   23.5897   23.2807    5.2777    3.0277    3.5688    7.0432  1.2792E+01     -0.2625  2.4163E-02
    7.0189    4.0000   23.5897   23.1568    5.2787    3.0294    3.5683    7.0623  1.2619E+01     -0.2625  2.2941E-02
    7.0267    4.0000   23.5897   23.0322    5.2797    3.0310    3.5677    7.0815  1.2445E+01     -0.2625  2.1762E-02
    7.0346    4.0000   23.5897   22.9070    5.2806    3.0327    3.5671    7.1007  1.2271E+01     -0.2625  2.0626E-02
    7.0424    4.0000   23.5897   22.7812    5.2816    3.0343    3.5665    7.1199  1.2097E+01     -0.2625  1.9531E-02
    7.0503    4.0000   23.5897   22.6548    5.2826    3.0360    3.5659    7.1390  1.1923E+01     -0.2625  1.8478E-02
    7.0581    4.0000   23.5897   22.5277    5.2836    3.0377    3.5653    7.1582  1.1749E+01     -0.2625  1.7464E-02
    7.0660    4.0000   23.5897   22.4000    5.2846    3.0394    3.5647    7.1774  1.1574E+01     -0.2625  1.6491E-02
    7.0739    4.0000   23.5897   22.2717    5.2855    3.0411    3.5641    7.1965  1.1399E+01     -0.2625  1.5557E-02
    7.0817    4.0000   23.5897   22.1427    5.2865    3.0428    3.5635    7.2157  1.1224E+01     -0.2625  1.4661E-02
    7.0896    4.0000   23.5897   22.0130    5.2875    3.0445    3.5629    7.2349  1.1049E+01     -0.2625  1.3802E-02
    7.0974    4.0000   23.5897   21.8827    5.2885    3.0462    3.5623    7.2541  1.0874E+01     -0.2625  1.2981E-02
    7.1053    4.0000   23.5897   21.7518    5.2894    3.0480    3.5616    7.2732  1.0699E+01     -0.2625  1.2195E-02
    7.1132    4.0000   23.5897   21.6201    5.2904    3.0497    3.5610    7.2924  1.0523E+01     -0.2625  1.1444E-02
    7.1210    4.0000   23.5897   21.4878    5.2914    3.0515    3.5604    7.3116  1.0348E+01     -0.2625  1.0728E-02
    7.1289    4.0000   23.5897   21.3548    5.2924    3.0532    3.5597    7.3307  1.0172E+01     -0.2625  1.0045E-02
    7.1367    4.0000   23.5897   21.2212    5.2934    3.0550    3.5591    7.3499  9.9962E+00     -0.2625  9.3944E-03
    7.1446    4.0000   23.5897   21.0868    5.2943    3.0568    3.5584    7.3691  9.8204E+00     -0.2625  8.7755E-03
    7.1524    4.0000   23.5897   20.9518    5.2953    3.0586    3.5578    7.3883  9.6445E+00     -0.2625  8.1874E-03
    7.1603    4.0000   23.5897   20.8161    5.2963    3.0604    3.5571    7.4074  9.4687E+00     -0.2625  7.6291E-03
    7.1682    4.0000   23.5897   20.6796    5.2973    3.0622    3.5565    7.4266  9.2928E+00     -0.2625  7.0997E-03
    7.1760    4.0000   23.5897   20.5425    5.2982    3.0641    3.5558    7.4458  9.1169E+00     -0.2625  6.5983E-03
    7.1839    4.0000   23.5897   20.4047    5.2992    3.0659    3.5551    7.4649  8.9411E+00     -0.2625  6.1239E-03
    7.1917    4.0000   23.5897   20.2661    5.3002    3.0678    3.5544    7.4841  8.7653E+00     -0.2625  5.6758E-03
    7.1996    4.0000   23.5897   20.1269    5.3012    3.0696    3.5538    7.5033  8.5895E+00     -0.2625  5.2528E-03
    7.2075    4.0000   23.5897   19.9869    5.3022    3.0715    3.5531    7.5225  8.4139E+00     -0.2625  4.8543E-03
    7.2153    4.0000   23.5897   19.8462    5.3031    3.0734    3.5524    7.5416  8.2384E+00     -0.2625  4.4791E-03
    7.2232    4.0000   23.5897   19.7047    5.3041    3.0753    3.5517    7.5608  8.0630E+00     -0.2625  4.1265E-03
    7.2310    4.0000   23.5897   19.5626    5.3051    3.0772    3.5509    7.5800  7.8877E+00     -0.2625  3.7954E-03
    7.2389    4.0000   23.5897   19.4196    5.3061    3.0791    3.5502    7.5991  7.7126E+00     -0.2625  3.4852E-03
    7.2468    4.0000   23.5897   19.2760    5.3070    3.0811    3.5495    7.6183  7.5378E+00     -0.2625  3.1947E-03
    7.2546    4.0000   23.5897   19.1316    5.3080    3.0830    3.5488    7.6375  7.3631E+00     -0.2625  2.9233E-03
    7.2625    4.0000   23.5897   18.9864    5.3090    3.0850    3.5480    7.6567  7.1888E+00     -0.2625  2.6700E-03
    7.2703    4.0000   23.5897   18.8405    5.3100    3.0869    3.5473    7.6758  7.0147E+00     -0.2625  2.4340E-03
    7.2782    4.0000   23.5897   18.6938    5.3110    3.0889    3.5466    7.6950  6.8409E+00     -0.2625  2.2145E-03
    7.2860    4.0000   23.5897   18.5463    5.3119    3.0909    3.5458    7.7142  6.6675E+00     -0.2625  2.0107E-03
    7.2939    4.0000   23.5897   18.3981    5.3129    3.0929    3.5450    7.7333  6.4945E+00     -0.2625  1.8217E-03
    7.3018    4.0000   23.5897   18.2491    5.3139    3.0949    3.5443    7.7525  6.3220E+00     -0.2625  1.6469E-03
    7.3096    4.0000   23.5897   18.0993    5.3149    3.0970    3.5435    7.7717  6.1499E+00     -0.2625  1.4854E-03
    7.3175    4.0000   23.5897   17.9487    5.3158    3.0990    3.5427    7.7908  5.9783E+00     -0.2625  1.3365E-03
    7.3253    4.0000   23.5897   17.7973    5.3168    3.1011    3.5419    7.8100  5.8072E+00     -0.2625  1.1996E-03
    7.3332    4.0000   23.5897   17.6451    5.3178    3.1031    3.5411    7.8292  5.6368E+00     -0.2625  1.0739E-03
    7.3411    4.0000   23.5897   17.4921    5.3188    3.1052    3.5403    7.8484  5.4670E+00     -0.2625  9.5871E-04
    7.3489    4.0000   23.5897   17.3383    5.3197    3.1073    3.5395    7.8675  5.2978E+00     -0.2625  8.5346E-04
    7.3568    4.0000   23.5897   17.1836    5.3207    3.1094    3.5387    7.8867  5.1295E+00     -0.2625  7.5748E-04
    7.3646    4.0000   23.5897   17.0282    5.3217    3.1116    3.5379    7.9059  4.9619E+00     -0.2625  6.7019E-04
    7.3725    4.0000   23.5897   16.8719    5.3227    3.1137    3.5371    7.9250  4.7951E+00     -0.2625  5.9100E-04
    7.3803    4.0000   23.5897   16.7148    5.3237    3.1158    3.5363    7.9442  4.6293E+00     -0.2625  5.1935E-04
    7.3882    4.0000   23.5897   16.5569    5.3246    3.1180    3.5354    7.9634  4.4645E+00     -0.2625  4.5471E-04
    7.3961    4.0000   23.5897   16.3981    5.3256    3.1202    3.5346    7.9826  4.3007E+00     -0.2625  3.9657E-04
    7.4039    4.0000   23.5897   16.2385    5.3266    3.1224    3.5337    8.0017  4.1380E+00     -0.2625  3.4444E-04
    7.4118    4.0000   23.5897   16.0780    5.3276    3.1246    3.5329    8.0209  3.9765E+00     -0.2625  2.9786E-04
    7.4196    4.0000   23.5897   15.9172    5.3285    3.1268    3.5320    8.0400  3.8167E+00     -0.2625  2.5653E-04
    7.4273    4.0000   23.5897   15.7581    5.3295    3.1289    3.5312    8.0588  3.6607E+00     -0.2625  2.2041E-04
    7.4349    4.0000   23.5897   15.6005    5.3304    3.1311    3.5303    8.0774  3.5084E+00     -0.2625  1.8891E-04
    7.4424    4.0000   23.5897   15.4445    5.3314    3.1332    3.5295    8.0956  3.3598E+00     -0.2625  1.6150E-04
    7.4498    4.0000   23.5897   15.2900    5.3323    3.1353    3.5287    8.1136  3.2148E+00     -0.2625  1.3768E-04
    7.4570    4.0000   23.5897   15.1371    5.3332    3.1374    3.5279    8.1313  3.0734E+00     -0.2625  1.1703E-04
