 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000    1.0000    1.0000   -0.1563   -0.0515    3.7499    0.0000  3.2890E-02      0.0000  1.0530E+03
  550.1565    1.0000    1.0000    1.0000   -0.1438   -0.0470    3.7508    0.0000  3.2891E-02      0.0000  9.2980E+02
 1100.3130    1.0000    1.0000    1.0000   -0.1302   -0.0425    3.7520    0.0000  3.2897E-02      0.0000  8.4199E+02
 1650.4695    1.0000    1.0000    1.0000   -0.1155   -0.0378    3.7533    0.0000  3.2917E-02      0.0000  7.7432E+02
 2200.6260    1.0000    1.0000    1.0000   -0.0997   -0.0329    3.7548    0.0000  3.2958E-02      0.0000  7.1949E+02
 2750.7825    1.0000    1.0000    1.0000   -0.0829   -0.0276    3.7563    0.0000  3.3024E-02      0.0000  6.7339E+02
 3300.9390    1.0000    1.0000    1.0000   -0.0650   -0.0219    3.7580    0.0000  3.3121E-02      0.0000  6.3352E+02
 3851.0957    1.0000    1.0000    1.0000   -0.0460   -0.0157    3.7596    0.0000  3.3248E-02      0.0000  5.9818E+02
 4401.2520    1.0000    1.0000    1.0000   -0.0259   -0.0089    3.7612    0.0000  3.3408E-02      0.0000  5.6620E+02
 4951.4087    1.0000    1.0000    1.0000   -0.0048   -0.0014    3.7628    0.0000  3.3602E-02      0.0000  5.3670E+02
 5501.5649    1.0000    1.0000    1.0000    0.0174    0.0068    3.7642    0.0000  3.3832E-02      0.0000  5.0902E+02
 6051.7217    1.0000    1.0000    1.0000    0.0408    0.0159    3.7655    0.0000  3.4105E-02      0.0000  4.8257E+02
 6601.8779    1.0000    1.0000    1.0000    0.0652    0.0260    3.7666    0.0000  3.4433E-02      0.0000  4.5684E+02
 7152.0347    1.0000    1.0000    1.0000    0.0909    0.0374    3.7673    0.0000  3.4838E-02      0.0000  4.3129E+02
 7702.1914    1.0000    1.0000    1.0000    0.1178    0.0503    3.7675    0.0000  3.5365E-02      0.0000  4.0527E+02
 8252.3477    1.0000    1.0000    1.0000    0.1461    0.0652    3.7672    0.0000  3.6097E-02      0.0000  3.7789E+02
 8802.5039    1.0000    1.0000    1.0000    0.1762    0.0827    3.7660    0.0000  3.7204E-02      0.0000  3.4783E+02
 9352.6611    1.0000    1.0000    1.0000    0.2084    0.1038    3.7635    0.0000  3.9056E-02      0.0000  3.1302E+02
 9902.8174    1.0000    1.0000    1.0000    0.2434    0.1302    3.7590    0.0000  4.2541E-02      0.0000  2.7037E+02
10452.9736    1.0000    1.0000    1.0000    0.2822    0.1641    3.7518    0.0000  5.0127E-02      0.0000  2.1588E+02
10941.0430    1.0000    1.0000    1.0000    0.3210    0.2044    3.7413    0.0000  6.7029E-02      0.0000  1.5516E+02
11003.1299    2.0000    1.0000    1.0000    0.3263    0.2106    3.7395    0.1112  6.2898E-02      0.0000  1.6458E+02
11032.0859    2.0000    1.0000    1.0000    0.3300    0.2172    3.7372    0.1131  7.0226E-02     -0.8432  1.5559E+02
11061.0439    2.0000    1.0000    1.0000    0.3336    0.2238    3.7348    0.1149  7.8260E-02     -1.7091  1.4688E+02
11090.0039    2.0000    0.9999    0.9999    0.3373    0.2304    3.7324    0.1168  8.7055E-02     -2.5982  1.3849E+02
11118.9658    2.0000    0.9999    0.9999    0.3410    0.2370    3.7300    0.1186  9.6670E-02     -3.5111  1.3041E+02
11147.9307    2.0000    0.9999    0.9999    0.3447    0.2436    3.7277    0.1205  1.0717E-01     -4.4487  1.2267E+02
11176.8984    2.0000    0.9999    0.9999    0.3484    0.2502    3.7253    0.1224  1.1861E-01     -5.4113  1.1527E+02
11205.8682    2.0000    0.9998    0.9998    0.3521    0.2568    3.7229    0.1242  1.3107E-01     -6.3999  1.0821E+02
11234.8398    2.0000    0.9998    0.9998    0.3558    0.2634    3.7205    0.1261  1.4462E-01     -7.4150  1.0149E+02
11263.8154    2.0000    0.9998    0.9998    0.3595    0.2699    3.7182    0.1280  1.5934E-01     -8.4574  9.5121E+01
11292.7930    2.0000    0.9998    0.9998    0.3632    0.2765    3.7158    0.1298  1.7531E-01     -9.5277  8.9083E+01
11321.7734    2.0000    0.9998    0.9998    0.3669    0.2831    3.7134    0.1317  1.9261E-01    -10.6269  8.3374E+01
